site_code,lat_start,lon_start,lat_end,lon_end,date,start_time,end_time,transect_length,compass_bearing,quad_dim,transect,quadrat,taxonID,cover,personnel,notes
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,50,320,0.5x0.5,3,1,Zmarina,70,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,6,Zmarina,80,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,6,brownAlgae,5,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,7,Zmarina,35,Whippo | Jones | Fliearman,
MudBay,59.613941,-151.439675,59.614383,-151.440057,9/23/2025,925,1100,50,320,0.5x0.5,2,8,Zmarina,3,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,1,Zmarina,95,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,1,brownAlgae,2,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,2,Zmarina,95,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,2,brownAlgae,1,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,2,greenAlgae,1,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,3,Zmarina,60,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,3,brownAlgae,2,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,4,Zmarina,75,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,4,brownAlgae,2,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,5,Zmarina,30,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,5,brownAlgae,5,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,5,greenAlgae,1,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,6,Zmarina,2,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,7,Zmarina,45,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,7,brownAlgae,7,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,7,greenAlgae,5,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,8,Zmarina,10,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,8,brownAlgae,5,Whippo | Jones | Fliearman,
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,50,320,0.5x0.5,1,8,greenAlgae,1,Whippo | Jones | Fliearman,
