site_code,lat_start,lon_start,lat_end,lon_end,date,start_time,end_time,transect,quadrat,taxonID,rank,length,width,personnel,notes
MudBay,59.613874,-151.439995,59.614271,-151.440548,9/23/2025,925,1100,1,1,Zmarina,1,165,7,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,1,Zmarina,1,240,2,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,1,Zmarina,2,378,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,1,Zmarina,3,452,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,1,Zmarina,4,390,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,3,Zmarina,1,352,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,3,Zmarina,2,498,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,3,Zmarina,3,504,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,3,Zmarina,4,496,3,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,1,364,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,2,604,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,3,696,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,4,438,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,5,Zmarina,5,594,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,1,240,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,2,460,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,3,444,4,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,4,574,5,Whippo | Jones | Fliearman,
MudBay,59.613877,-151.43987,59.614367,-151.440223,9/23/2025,925,1100,3,7,Zmarina,5,510,5,Whippo | Jones | Fliearman,
